331350023,TheDose1776,1
447610912,LA_Carper10,1
401080385,kristenpray30,1
878313546,emthecoolest,1
95944824,ajazsami,1
102367361,_Gwala,1
2395603113,johnbalogh24,1
436994219,lukeseifert,1
111411506,Jhouk412,1
169345378,cwgarguilo,1
167117175,neofundy,1
586940850,bossjockapp,1
33161665,JORDANbeardcore,1
156500425,lisa_m_huesman,1
895115118,joe_brazil,1
1898054222,MichStal,1
565969496,_brookeeeB,1
19006062,Sean_Burkey,1
1195770494,thompson8623,1
388235907,pzpzurat,1
2360083084,YochananE,1
14767563,JWinMcK,1
88212179,SquidLogic,1
1157366484,TylaFnBailey,1
1851392743,kitenhens,1
402916076,firedog1979,1
26084116,Pgh_lawyer_girl,1
967443266,kearagolden,1
295437154,emmawidmer7,1
289670022,V_Nasty22,1
137757600,MrSomewhatFrank,1
21234603,DanaAMathews,1
2308834223,deroesch,1
24118209,dizzvh,1
566494150,court_shaffer,1
66585582,TylerMiller23,1
85591041,KyleKr,1
202245123,smit_tron,1
555090974,allnightBryce,1
51774515,MikeLoewinsohn,1
563872917,EllisPhysics,1
444204194,sophiajbrooks,1
24904874,KnittenJen,1
2407662776,CarrickPAToast,1
2434270408,MarkMsully10,1
21628112,therealklucas,1
423625940,CalebxFerguson,1
634258647,madisonnking,1
91882712,pcarroll47,1
1461141054,mikalabartolo,1
1721172200,raychelmarie11,1
499385716,NeikoC,1
1912210808,JerrySamDusky,1
81003907,teamguido7,1
161744357,L4ZOR,1
262014451,brittanygrace27,1
45483508,braycy,1
2414216703,sfranks21,1
193332754,bradsimpson301,1
38012476,MacroMeredith,1
371328574,ohh_its_shelbee,1
365037133,RyanWells94b,1
617612887,RMUorange,1
17827419,HiOhMegan,1
892208755,SarahDewald,1
895616654,Kayla_Thomp,1
77727440,bsc84,1
368051933,rileysjourney,1
32376612,paygers,1
1223690041,EmjayographyFan,1
1302071173,mbacutie,1
245368716,ashley03242,1
1692141463,LMSgreenhouse,1
238290939,SaBreezyLea,1
256116761,neecholaa,1
40110111,untamedame,1
251922514,MsJennamariey,1
304613492,19orchid,1
38013056,bigdiehl90,1
177866894,bnewman24,1
66586772,SLICEofFELICIA,1
1078331562,em_wri,1
538314935,jgibs17,1
1138493640,TheShithead1,1
16386261,PGHFRINGE,1
27003113,wtstephens,1
855247153,MatthewStrauss3,1
24774965,tobyfraley,1
325058961,heheheitslexie,1
292293085,ShelleyDuffy,1
90712274,sadihawkins,1
368577037,jenebs,1
353503761,NScribe,1
109578774,ThaKidGatta,1
621152792,mp1q6,1
105646627,joeyproctor,1
1191971364,CBerk28,1
358484533,Kyle412Smith,1
285518944,AtulitKumar,1
1576405573,sri_7_,1
96209508,kevindavisphoto,1
587467409,kyankovich,1
324274884,ShlMlkzdh,1
338692860,CChris14,1
22678272,jacob_kamholz,1
305793809,aninacolada,1
1055394583,brandyscar,1
565054236,mcarapellatti16,1
111935970,EthanDF,1
23595857,caitlinbirch,1
266734476,SantiagoVelaIII,1
299109307,jacobluigi51,1
42732481,carlyhelfand,1
56495069,stevepersing,1
1639975932,sky60038,1
855116810,_Honey_Dubai,1
2405043258,MLBScoreBot,1
520621126,leach_matthew,1
468716683,KaitlynGarrety,1
109448438,RubenH27,1
164367633,babetor,1
840568094,kpmills19,1
417336661,_bencole,1
59510103,dekeditt1975,1
379290022,HaloFanForLife,1
27266495,mdhogue76,1
55971269,sphelan1971,1
554653604,katrinareiter,1
