date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Thu Apr 17 2014 00:00:00 GMT+0000 (UTC),2795886,,,,,,,,,,151550,34652 
Fri Apr 18 2014 00:00:00 GMT+0000 (UTC),2848443,,,,,,,,,,151550,35279 
Sat Apr 19 2014 00:00:00 GMT+0000 (UTC),2905048,,,,,,,,,,151550,36182 
Sun Apr 20 2014 00:00:00 GMT+0000 (UTC),2961734,,,,,,,,,,151550,37425 
Mon Apr 21 2014 00:00:00 GMT+0000 (UTC),3024849,,,,,,,,,,151550,38693 
Tue Apr 22 2014 00:00:00 GMT+0000 (UTC),3075164,,,,,,,,,,151550,39309 
Wed Apr 23 2014 00:00:00 GMT+0000 (UTC),3132133,,,,,,,,,,151550,39984 
Thu Apr 24 2014 00:00:00 GMT+0000 (UTC),3186137,,,,,,,,,,151550,40565 
Fri Apr 25 2014 00:00:00 GMT+0000 (UTC),3240888,,,,,,,,,,151550,41301 
Sat Apr 26 2014 00:00:00 GMT+0000 (UTC),3292502,,,,,,,,,,151550,41808 
Sun Apr 27 2014 00:00:00 GMT+0000 (UTC),3341414,,,,,,,,,,151550,42490 
Mon Apr 28 2014 00:00:00 GMT+0000 (UTC),3393350,,,,,,,,,,151550,43124 
Tue Apr 29 2014 00:00:00 GMT+0000 (UTC),3444542,,,,,,,,,,151550,43611 
Wed Apr 30 2014 00:00:00 GMT+0000 (UTC),3498900,,,,,,,,,,151550,44177 
Thu May 01 2014 00:00:00 GMT+0000 (UTC),3555527,,,,,,,,,,151550,44585 
Fri May 02 2014 00:00:00 GMT+0000 (UTC),3607799,,,,,,,,,,151550,44990 
Sat May 03 2014 00:00:00 GMT+0000 (UTC),3657569,,,,,,,,,,151550,45552 
Sun May 04 2014 00:00:00 GMT+0000 (UTC),3706229,,,,,,,,,,151550,46499 
