date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Thu Nov 13 2014 00:00:00 GMT+0000 (UTC),2723007,1753250,89614,73553,59532,45610,77495,71314,60217,259404,151550,210718 
Fri Nov 14 2014 00:00:00 GMT+0000 (UTC),2729524,1763700,116833,88286,71609,53904,100890,86986,68729,305302,151550,211266 
Sat Nov 15 2014 00:00:00 GMT+0000 (UTC),2735044,1774502,143342,99690,85098,62277,127463,101187,88099,351780,151550,211777 
Sun Nov 16 2014 00:00:00 GMT+0000 (UTC),2741387,1784358,169940,118630,98181,71335,153689,115366,112572,401215,151550,212569 
Mon Nov 17 2014 00:00:00 GMT+0000 (UTC),2747928,1794150,197889,140377,113226,81722,184080,131706,139277,453213,151550,213212 
Tue Nov 18 2014 00:00:00 GMT+0000 (UTC),2754038,1803577,222301,162191,127655,90226,210149,148460,163019,497399,151550,213745 
Wed Nov 19 2014 00:00:00 GMT+0000 (UTC),2761343,1814010,249908,183368,141516,98948,235585,163806,187889,540819,151550,214348 
Thu Nov 20 2014 00:00:00 GMT+0000 (UTC),2766326,1824369,276595,200044,154385,107250,260203,178935,208357,582041,151550,214828 
Fri Nov 21 2014 00:00:00 GMT+0000 (UTC),2766945,1834593,303869,223263,167010,116157,284967,194152,231765,627842,151550,215295 
Sat Nov 22 2014 00:00:00 GMT+0000 (UTC),2773418,1845182,329982,245661,179439,125399,310546,208048,252295,670410,151550,215873 
Sun Nov 23 2014 00:00:00 GMT+0000 (UTC),2781245,1855396,356279,267087,191980,134437,336602,222798,276140,725974,151550,217260 
Mon Nov 24 2014 00:00:00 GMT+0000 (UTC),2787545,1865299,383535,290008,207524,145376,364593,240052,300962,780963,151550,218010 
Tue Nov 25 2014 00:00:00 GMT+0000 (UTC),2795008,1874827,411473,316465,222088,154288,394983,258330,327271,827335,151550,218586 
Wed Nov 26 2014 00:00:00 GMT+0000 (UTC),2803131,1885371,441825,342359,237781,164556,424058,275338,355263,862021,151550,219037 
Thu Nov 27 2014 00:00:00 GMT+0000 (UTC),2809715,1895363,468519,364185,252431,173842,450688,290936,379798,912050,151550,219674 
Fri Nov 28 2014 00:00:00 GMT+0000 (UTC),2816834,1904963,493395,387284,268010,182667,477923,310122,405426,958765,151550,220580 
Sat Nov 29 2014 00:00:00 GMT+0000 (UTC),2822347,1913502,511993,406256,281154,191127,500151,323251,425427,1003361,151550,221314 
Sun Nov 30 2014 00:00:00 GMT+0000 (UTC),2828966,1923278,533393,427957,296042,199816,524709,339512,449155,1054341,151550,222124 
Mon Dec 01 2014 00:00:00 GMT+0000 (UTC),2836567,1932348,556843,451954,313194,208739,550883,356510,472531,1105827,151550,223813 
Tue Dec 02 2014 00:00:00 GMT+0000 (UTC),2842732,1941939,581102,476225,327325,218052,578192,372837,495723,1152196,151550,224580 
Wed Dec 03 2014 00:00:00 GMT+0000 (UTC),2849864,1951508,605652,498238,340225,226958,606606,388519,519004,1198153,151550,225043 
Thu Dec 04 2014 00:00:00 GMT+0000 (UTC),2856870,1961907,631446,520354,354094,236114,634296,402746,542928,1245837,151550,225573 
Fri Dec 05 2014 00:00:00 GMT+0000 (UTC),2863652,1972286,660354,542431,366583,244803,662292,416815,566766,1291273,151550,226090 
Sat Dec 06 2014 00:00:00 GMT+0000 (UTC),2870108,1982925,689887,564222,379613,253193,690525,430863,592096,1334355,151550,226645 
Sun Dec 07 2014 00:00:00 GMT+0000 (UTC),2877128,1993660,716450,585265,391447,261708,718569,444670,616874,1387063,151550,227470 
Mon Dec 08 2014 00:00:00 GMT+0000 (UTC),2885292,2004245,743606,609369,409098,271403,748900,460402,644867,1437496,151550,228343 
Tue Dec 09 2014 00:00:00 GMT+0000 (UTC),2892068,2014404,768771,632969,422364,280348,775535,475561,669135,1484025,151550,228953 
Wed Dec 10 2014 00:00:00 GMT+0000 (UTC),2898970,2025342,794432,654744,435105,288980,799732,489788,691745,1531556,151550,229469 
Thu Dec 11 2014 00:00:00 GMT+0000 (UTC),2906179,2036291,822260,676834,448497,297514,825142,504149,715138,1577302,151550,230027 
Fri Dec 12 2014 00:00:00 GMT+0000 (UTC),2912438,2050489,849602,699004,461126,305901,849837,518575,735753,1624431,151550,230574 
Sat Dec 13 2014 00:00:00 GMT+0000 (UTC),2912898,2051449,852161,701381,462267,314275,852671,519598,737662,1627047,151550,231069 
Sun Dec 14 2014 00:00:00 GMT+0000 (UTC),2915322,2055465,865075,708394,466736,322030,860983,524719,746191,1648528,151550,231720 
Mon Dec 15 2014 00:00:00 GMT+0000 (UTC),2922314,2066086,893259,732533,484280,331004,888036,540869,770301,1706668,151550,232342 
Tue Dec 16 2014 00:00:00 GMT+0000 (UTC),2928738,2076230,919438,757788,498782,339466,913818,557449,792694,1752512,151550,232888 
Wed Dec 17 2014 00:00:00 GMT+0000 (UTC),2935344,2086464,945786,781427,513004,347190,941396,573053,817007,1798972,151550,233632 
Thu Dec 18 2014 00:00:00 GMT+0000 (UTC),2941874,2097664,972873,805643,527139,355364,969683,588539,840841,1847315,151550,234110 
Fri Dec 19 2014 00:00:00 GMT+0000 (UTC),2948263,2108761,999623,830933,542206,364388,997310,604361,865625,1893107,151550,234680 
Sat Dec 20 2014 00:00:00 GMT+0000 (UTC),2954148,2120635,1026758,856381,556322,373626,1024826,618922,890388,1938294,151550,235196 
Sun Dec 21 2014 00:00:00 GMT+0000 (UTC),2960167,2131706,1054669,879607,570275,382762,1051518,633494,915431,1986215,151550,235756 
Mon Dec 22 2014 00:00:00 GMT+0000 (UTC),2968085,2142794,1081874,905591,585552,392294,1079863,649903,940149,2038121,151550,237428 
Tue Dec 23 2014 00:00:00 GMT+0000 (UTC),2973978,2153195,1106267,930937,600995,402115,1108977,665765,964344,2084993,151550,238084 
Wed Dec 24 2014 00:00:00 GMT+0000 (UTC),2980532,2163243,1129319,958137,616452,411095,1138637,682384,990472,2131117,151550,238633 
Thu Dec 25 2014 00:00:00 GMT+0000 (UTC),2987041,2173058,1150471,985384,632991,419875,1170106,701173,1017621,2179299,151550,239343 
Fri Dec 26 2014 00:00:00 GMT+0000 (UTC),2994169,2181462,1169738,1009358,650050,427520,1202034,719774,1041518,2231917,151550,240165 
Sat Dec 27 2014 00:00:00 GMT+0000 (UTC),2999946,2189262,1189672,1032218,663791,434657,1231606,734503,1062589,2277008,151550,240789 
Sun Dec 28 2014 00:00:00 GMT+0000 (UTC),3006198,2198328,1213873,1058174,678110,442385,1262306,749664,1085803,2319736,151550,241481 
Mon Dec 29 2014 00:00:00 GMT+0000 (UTC),3013907,2208347,1239454,1086293,694400,451587,1295715,766624,1110957,2370555,151550,242347 
Tue Dec 30 2014 00:00:00 GMT+0000 (UTC),3021851,2217144,1261620,1108294,708369,458906,1323545,778575,1130607,2412546,151550,244065 
Wed Dec 31 2014 00:00:00 GMT+0000 (UTC),3027520,2226356,1286853,1133802,722684,466374,1354899,792016,1154628,2457283,151550,244617 
Thu Jan 01 2015 00:00:00 GMT+0000 (UTC),3033690,2236522,1315609,1159509,737284,474300,1387270,807734,1181163,2504991,151550,245408 
Fri Jan 02 2015 00:00:00 GMT+0000 (UTC),3040448,2247934,1349564,1182741,752767,483908,1421816,823617,1208174,2568669,151550,246338 
Sat Jan 03 2015 00:00:00 GMT+0000 (UTC),3047576,2257241,1375318,1208248,771634,491865,1454317,839486,1233572,2616588,151550,246713 
Sun Jan 04 2015 00:00:00 GMT+0000 (UTC),3055375,2266759,1401510,1233700,786218,500201,1485745,854866,1260216,2666822,151550,246713 
Mon Jan 05 2015 00:00:00 GMT+0000 (UTC),3065510,2276817,1426459,1260625,803078,508707,1516530,873528,1288350,2723061,151550,246713 
Tue Jan 06 2015 00:00:00 GMT+0000 (UTC),3073087,2285849,1449914,1288986,819224,517329,1548803,892993,1315018,2774742,151550,247190 
Wed Jan 07 2015 00:00:00 GMT+0000 (UTC),3079781,2295339,1473949,1314010,833906,526194,1576434,907149,1339283,2819249,151550,247623 
Thu Jan 08 2015 00:00:00 GMT+0000 (UTC),3087068,2304508,1496831,1337578,849821,534438,1604125,922908,1366221,2869079,151550,247982 
Fri Jan 09 2015 00:00:00 GMT+0000 (UTC),3095028,2315094,1520599,1362075,867895,542054,1631455,940738,1398196,2915294,151550,248434 
Sat Jan 10 2015 00:00:00 GMT+0000 (UTC),3101693,2324440,1544286,1386696,886378,550273,1657967,958538,1427911,2959236,151550,248858 
Sun Jan 11 2015 00:00:00 GMT+0000 (UTC),3108546,2335322,1568796,1410523,901897,559234,1686026,973344,1458405,3008763,151550,249348 
Mon Jan 12 2015 00:00:00 GMT+0000 (UTC),3115900,2345915,1594421,1438417,916530,570576,1715251,989200,1486022,3062276,151550,249918 
Tue Jan 13 2015 00:00:00 GMT+0000 (UTC),3122683,2355511,1618795,1464764,931992,578949,1743324,1006304,1514140,3109316,151550,250336 
Wed Jan 14 2015 00:00:00 GMT+0000 (UTC),3130286,2365701,1641847,1489587,950079,587772,1771633,1023087,1539240,3156758,151550,250794 
Thu Jan 15 2015 00:00:00 GMT+0000 (UTC),3136870,2375351,1664732,1512353,964302,596112,1798934,1037813,1562771,3202949,151550,251207 
Fri Jan 16 2015 00:00:00 GMT+0000 (UTC),3143886,2385173,1688272,1534439,978245,604204,1824832,1051660,1586555,3248841,151550,251623 
Sat Jan 17 2015 00:00:00 GMT+0000 (UTC),3150299,2395187,1711967,1555089,991240,612034,1851051,1064867,1609273,3291759,151550,252193 
Sun Jan 18 2015 00:00:00 GMT+0000 (UTC),3155954,2404770,1735956,1574894,1004254,619555,1876886,1078136,1633048,3341797,151550,252783 
Mon Jan 19 2015 00:00:00 GMT+0000 (UTC),3163082,2415549,1761528,1599104,1018446,635537,1904493,1092760,1659986,3394684,151550,253365 
Tue Jan 20 2015 00:00:00 GMT+0000 (UTC),3169971,2425398,1784990,1623124,1033205,645339,1932128,1108479,1685087,3440408,151550,253869 
Wed Jan 21 2015 00:00:00 GMT+0000 (UTC),3176435,2435028,1807352,1647134,1047042,653291,1959427,1123198,1708000,3486078,151550,254300 
Thu Jan 22 2015 00:00:00 GMT+0000 (UTC),3183934,2444798,1831969,1670273,1061452,661962,1987159,1139018,1731252,3533849,151550,254716 
Fri Jan 23 2015 00:00:00 GMT+0000 (UTC),3190375,2454579,1855696,1692027,1074939,669912,2013731,1153981,1753792,3579048,151550,255225 
Sat Jan 24 2015 00:00:00 GMT+0000 (UTC),3196424,2464501,1879877,1713254,1087793,678484,2039544,1168063,1776255,3624911,151550,255666 
Sun Jan 25 2015 00:00:00 GMT+0000 (UTC),3202294,2474845,1905365,1734426,1100898,686949,2065031,1182663,1798774,3676169,151550,256256 
Mon Jan 26 2015 00:00:00 GMT+0000 (UTC),3208360,2485447,1930902,1755990,1116042,695375,2091873,1197245,1821444,3726677,151550,256752 
Tue Jan 27 2015 00:00:00 GMT+0000 (UTC),3215073,2495972,1962878,1778347,1130311,703675,2123064,1212777,1844199,3772855,151550,257283 
Wed Jan 28 2015 00:00:00 GMT+0000 (UTC),3221384,2506527,1991093,1800606,1144414,711931,2146648,1226714,1865470,3821098,151550,257721 
Thu Jan 29 2015 00:00:00 GMT+0000 (UTC),3227740,2517005,2013565,1822199,1157145,719732,2171149,1240095,1887365,3868386,151550,258149 
Fri Jan 30 2015 00:00:00 GMT+0000 (UTC),3234216,2527794,2037947,1843337,1171000,727680,2195271,1253487,1908499,3915342,151550,258601 
Sat Jan 31 2015 00:00:00 GMT+0000 (UTC),3240092,2538413,2063660,1864050,1184066,736540,2218826,1267763,1930786,3960148,151550,259027 
Sun Feb 01 2015 00:00:00 GMT+0000 (UTC),3246205,2549307,2089036,1884304,1195754,744705,2241623,1280646,1952104,4010165,151550,259787 
Mon Feb 02 2015 00:00:00 GMT+0000 (UTC),3253599,2561151,2115008,1907519,1209427,755715,2266857,1295929,1980516,4064005,151550,260402 
Tue Feb 03 2015 00:00:00 GMT+0000 (UTC),3263884,2575080,2149145,1934171,1230181,773516,2300490,1317774,2017722,4114018,151550,260845 
Wed Feb 04 2015 00:00:00 GMT+0000 (UTC),3269837,2585709,2173471,1955298,1244348,782013,2326666,1335408,2042510,4163385,151550,261238 
Thu Feb 05 2015 00:00:00 GMT+0000 (UTC),3275437,2596175,2197697,1977218,1258091,790619,2352308,1351909,2064976,4211155,151550,261692 
Fri Feb 06 2015 00:00:00 GMT+0000 (UTC),3281311,2607264,2221204,1999137,1272677,798874,2377484,1366790,2087034,4256782,151550,262183 
Sat Feb 07 2015 00:00:00 GMT+0000 (UTC),3287244,2619287,2245960,2019992,1286307,808344,2402065,1380132,2109161,4303990,151550,262674 
Sun Feb 08 2015 00:00:00 GMT+0000 (UTC),3293791,2631296,2270896,2039020,1298846,817498,2426694,1392667,2132282,4358676,151550,263211 
Mon Feb 09 2015 00:00:00 GMT+0000 (UTC),3300211,2642670,2296189,2058496,1312270,826323,2451552,1405856,2155874,4411884,151550,263827 
Tue Feb 10 2015 00:00:00 GMT+0000 (UTC),3308211,2653862,2328541,2082891,1328121,835526,2482334,1420573,2182883,4456743,151550,264191 
Wed Feb 11 2015 00:00:00 GMT+0000 (UTC),3314179,2664664,2352388,2103759,1340414,843843,2506876,1432778,2203262,4506692,151550,264570 
Thu Feb 12 2015 00:00:00 GMT+0000 (UTC),3320094,2675824,2377907,2123801,1352642,852238,2531175,1445108,2225066,4554031,151550,265098 
Fri Feb 13 2015 00:00:00 GMT+0000 (UTC),3326617,2687420,2405417,2144026,1364413,860771,2556177,1457691,2246709,4598987,151550,265674 
Sat Feb 14 2015 00:00:00 GMT+0000 (UTC),3333069,2698908,2438006,2165724,1378100,869823,2581855,1471910,2270322,4644905,151550,266223 
Sun Feb 15 2015 00:00:00 GMT+0000 (UTC),3340124,2710922,2472132,2184745,1391340,878557,2605978,1485099,2293264,4697420,151550,266900 
Mon Feb 16 2015 00:00:00 GMT+0000 (UTC),3346543,2722728,2505119,2204633,1405205,886933,2630210,1499100,2316450,4747357,151550,267596 
Tue Feb 17 2015 00:00:00 GMT+0000 (UTC),3353867,2734070,2538418,2227551,1419801,895158,2657175,1514089,2340116,4796723,151550,268148 
Wed Feb 18 2015 00:00:00 GMT+0000 (UTC),3360586,2744470,2567873,2249625,1433404,903826,2685463,1529761,2363412,4847664,151550,268627 
